COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	GenBank.Accession	Start.Coord	End.Coord	Gene_Product	Cat
	8038437044	Ga0347527_67_18529_18798		8038433981	Enterococcus hirae 1013	1	NA	18529	18798	NA	NA
	8038436160	Ga0347527_36_15247_15411		8038433981	Enterococcus hirae 1013	1	NA	15247	15411	NA	NA
	8038434249	Ga0347527_09_12429_12512		8038433981	Enterococcus hirae 1013	1	NA	12429	12512	NA	NA
	8038434512	Ga0347527_14_142868_142941		8038433981	Enterococcus hirae 1013	1	NA	142868	142941	NA	NA
	8038436720	Ga0347527_43_197269_197344		8038433981	Enterococcus hirae 1013	1	NA	197269	197344	NA	NA
	8038435134	Ga0347527_25_161790_161888		8038433981	Enterococcus hirae 1013	1	NA	161790	161888	NA	NA
	8038436333	Ga0347527_37_77757_77854		8038433981	Enterococcus hirae 1013	1	NA	77757	77854	NA	NA
	8038435890	Ga0347527_35_16190_16336		8038433981	Enterococcus hirae 1013	1	NA	16190	16336	NA	NA
	8038434622	Ga0347527_15_62728_62946		8038433981	Enterococcus hirae 1013	1	NA	62728	62946	NA	NA
	8038436029	Ga0347527_35_175204_175369		8038433981	Enterococcus hirae 1013	1	NA	175204	175369	NA	NA
	8038435855	Ga0347527_33_23746_23832		8038433981	Enterococcus hirae 1013	1	NA	23746	23832	NA	NA
	8038434720	Ga0347527_20_14630_14870		8038433981	Enterococcus hirae 1013	1	NA	14630	14870	NA	NA
	8038436480	Ga0347527_39_123349_123516		8038433981	Enterococcus hirae 1013	1	NA	123349	123516	NA	NA
	8038434426	Ga0347527_14_52357_52540		8038433981	Enterococcus hirae 1013	1	NA	52357	52540	NA	NA
	8038436943	Ga0347527_55_649_742		8038433981	Enterococcus hirae 1013	1	NA	649	742	NA	NA
	8038436818	Ga0347527_43_295514_295749		8038433981	Enterococcus hirae 1013	1	NA	295514	295749	NA	NA
	8038434452	Ga0347527_14_74660_74745		8038433981	Enterococcus hirae 1013	1	NA	74660	74745	NA	NA
	8038434453	Ga0347527_14_74852_75035		8038433981	Enterococcus hirae 1013	1	NA	74852	75035	NA	NA
	8038435829	Ga0347527_32_53506_53686		8038433981	Enterococcus hirae 1013	1	NA	53506	53686	NA	NA
	8038434868	Ga0347527_22_65428_65518		8038433981	Enterococcus hirae 1013	1	NA	65428	65518	NA	NA
	8038434291	Ga0347527_10_52857_53062		8038433981	Enterococcus hirae 1013	1	NA	52857	53062	NA	NA
	8038436987	Ga0347527_59_877_1056		8038433981	Enterococcus hirae 1013	1	NA	877	1056	NA	NA
	8038434588	Ga0347527_15_21345_21529		8038433981	Enterococcus hirae 1013	1	NA	21345	21529	NA	NA
	8038434834	Ga0347527_22_25999_26209		8038433981	Enterococcus hirae 1013	1	NA	25999	26209	NA	NA
	8038434670	Ga0347527_19_31911_31969		8038433981	Enterococcus hirae 1013	1	NA	31911	31969	NA	NA
	8038435120	Ga0347527_25_149414_149547		8038433981	Enterococcus hirae 1013	1	NA	149414	149547	NA	NA
	8038435772	Ga0347527_32_7147_7334		8038433981	Enterococcus hirae 1013	1	NA	7147	7334	NA	NA
	8038434818	Ga0347527_22_3203_3281		8038433981	Enterococcus hirae 1013	1	NA	3203	3281	NA	NA
	8038436508	Ga0347527_39_172392_172490		8038433981	Enterococcus hirae 1013	1	NA	172392	172490	NA	NA
	8038435854	Ga0347527_33_23486_23667		8038433981	Enterococcus hirae 1013	1	NA	23486	23667	NA	NA
	8038434436	Ga0347527_14_59747_59921		8038433981	Enterococcus hirae 1013	1	NA	59747	59921	NA	NA
	8038435830	Ga0347527_32_53734_53823		8038433981	Enterococcus hirae 1013	1	NA	53734	53823	NA	NA
	8038435495	Ga0347527_31_226186_226253		8038433981	Enterococcus hirae 1013	1	NA	226186	226253	NA	NA
	8038436944	Ga0347527_55_786_965		8038433981	Enterococcus hirae 1013	1	NA	786	965	NA	NA
	8038435752	Ga0347527_31_473607_473844		8038433981	Enterococcus hirae 1013	1	NA	473607	473844	NA	NA
	8038435097	Ga0347527_25_124035_124265		8038433981	Enterococcus hirae 1013	1	NA	124035	124265	NA	NA
	8038434586	Ga0347527_15_20395_20579		8038433981	Enterococcus hirae 1013	1	NA	20395	20579	NA	NA
	8038434454	Ga0347527_14_75292_75475		8038433981	Enterococcus hirae 1013	1	NA	75292	75475	NA	NA
