COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	GenBank.Accession	Start.Coord	End.Coord	Gene_Product	Cat
	8038418057	Ga0344219_02_202562_202799		8038417360	Enterococcus hirae F0221F 224	2	NA	202562	202799	NA	NA
	8038419534	Ga0344219_08_25002_25212		8038417360	Enterococcus hirae F0221F 224	2	NA	25002	25212	NA	NA
	8038418123	Ga0344219_02_266275_266461		8038417360	Enterococcus hirae F0221F 224	2	NA	266275	266461	NA	NA
	8038419858	Ga0344219_10_61937_61983		8038417360	Enterococcus hirae F0221F 224	2	NA	61937	61983	NA	NA
	8038419190	Ga0344219_06_54009_54107		8038417360	Enterococcus hirae F0221F 224	2	NA	54009	54107	NA	NA
	8038417365	Ga0344219_01_5152_5317		8038417360	Enterococcus hirae F0221F 224	2	NA	5152	5317	NA	NA
	8038418154	Ga0344219_02_301150_301225		8038417360	Enterococcus hirae F0221F 224	2	NA	301150	301225	NA	NA
	8038418881	Ga0344219_04_249621_249688		8038417360	Enterococcus hirae F0221F 224	2	NA	249621	249688	NA	NA
	8038418480	Ga0344219_03_131778_131952		8038417360	Enterococcus hirae F0221F 224	2	NA	131778	131952	NA	NA
	8038420083	Ga0344219_12_74945_75163		8038417360	Enterococcus hirae F0221F 224	2	NA	74945	75163	NA	NA
	8038420049	Ga0344219_12_36996_37180		8038417360	Enterococcus hirae F0221F 224	2	NA	36996	37180	NA	NA
	8038419466	Ga0344219_07_130689_130747		8038417360	Enterococcus hirae F0221F 224	2	NA	130689	130747	NA	NA
	8038417840	Ga0344219_01_496424_496522		8038417360	Enterococcus hirae F0221F 224	2	NA	496424	496522	NA	NA
	8038418909	Ga0344219_05_30_124		8038417360	Enterococcus hirae F0221F 224	2	NA	30	124	NA	NA
	8038418921	Ga0344219_05_8351_8437		8038417360	Enterococcus hirae F0221F 224	2	NA	8351	8437	NA	NA
	8038418922	Ga0344219_05_8498_8673		8038417360	Enterococcus hirae F0221F 224	2	NA	8498	8673	NA	NA
	8038418556	Ga0344219_03_217671_217796		8038417360	Enterococcus hirae F0221F 224	2	NA	217671	217796	NA	NA
	8038418056	Ga0344219_02_202287_202522		8038417360	Enterococcus hirae F0221F 224	2	NA	202287	202522	NA	NA
	8038418615	Ga0344219_03_286603_286685		8038417360	Enterococcus hirae F0221F 224	2	NA	286603	286685	NA	NA
	8038420193	Ga0344219_18_2384_2566		8038417360	Enterococcus hirae F0221F 224	2	NA	2384	2566	NA	NA
	8038418466	Ga0344219_03_117094_117277		8038417360	Enterococcus hirae F0221F 224	2	NA	117094	117277	NA	NA
	8038418617	Ga0344219_03_286724_286935		8038417360	Enterococcus hirae F0221F 224	2	NA	286724	286935	NA	NA
	8038417492	Ga0344219_01_132072_132236		8038417360	Enterococcus hirae F0221F 224	2	NA	132072	132236	NA	NA
	8038418950	Ga0344219_05_48163_48309		8038417360	Enterococcus hirae F0221F 224	2	NA	48163	48309	NA	NA
	8038418919	Ga0344219_05_7931_8017		8038417360	Enterococcus hirae F0221F 224	2	NA	7931	8017	NA	NA
